,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,worldwideBoxOffice
1937,2746,tt4916630,Just Mercy,2019,"Biography,Crime,Drama",Destin Daniel Cretton,7.6,80162,0.2157819725930693,50901502
1938,8078,tt9608818,Our Friend,2019,"Drama,Romance",Gabriela Cowperthwaite,7.3,16600,0.0429204207513143,
1939,1244,tt4520988,Frozen II,2019,"Adventure,Animation,Comedy","Chris Buck,None",6.8,206959,0.4984553394639761,1450026933
1940,957,tt4729430,Klaus,2019,"Adventure,Animation,Comedy","None,Carlos Martínez López",8.2,213438,0.6198956912643676,
1941,6341,tt7390646,Black and Blue,2019,"Action,Thriller",Deon Taylor,6.4,28376,0.0643226860796459,22741061
1942,8747,tt6903440,Manikarnika: The Queen of Jhansi,2019,"Action,Biography,Drama","Radha Krishna Jagarlamudi,Kangana Ranaut",6.4,16502,0.037406715734646,
1943,1375,tt6450804,Terminator: Dark Fate,2019,"Action,Adventure,Sci-Fi",Tim Miller,6.2,203638,0.4471811980023777,261119292
1944,9806,tt2716382,Sea Fever,2019,"Drama,Horror,Mystery",Neasa Hardiman,5.7,15213,0.0307130356252809,
1945,7335,tt8399664,Babyteeth,2019,"Comedy,Drama,Music",Shannon Murphy,7.2,19843,0.0506026022823236,
1946,11738,tt7059844,Dabangg 3,2019,"Action,Comedy,Crime",Prabhu Deva,3.0,20899,0.0222064830817391,
1947,1398,tt6565702,X-Men: Dark Phoenix,2019,"Action,Adventure,Sci-Fi",,5.7,217780,0.4396690263901722,252442974
1948,666,tt9243946,El Camino,2019,"Crime,Drama,Thriller",Vince Gilligan,7.3,315502,0.8157517221615167,
1949,6615,tt8413338,Kumbalangi Nights,2019,"Comedy,Drama,Romance",Madhu C. Narayanan,8.5,19847,0.059751225619214,
1950,3070,tt3513498,The Lego Movie 2: The Second Part,2019,"Adventure,Animation,Comedy",Mike Mitchell,6.5,80865,0.186168830304982,192306508
1951,6524,tt2365580,"Where'd You Go, Bernadette",2019,"Comedy,Crime,Drama",Richard Linklater,6.5,26691,0.0614484913086041,
1952,3861,tt7043012,Velvet Buzzsaw,2019,"Horror,Mystery,Thriller",Dan Gilroy,5.7,67632,0.1365400660888058,
1953,8289,tt9586294,Better Days,2019,"Crime,Drama,Romance",Derek Tsang,7.6,15267,0.0410960726476184,227313644
1954,3612,tt5431890,Official Secrets,2019,"Biography,Crime,Drama",Gavin Hood,7.3,57788,0.1494147755648767,
1955,6939,tt9817070,Law of Tehran,2019,"Action,Crime,Drama",Saeed Roustayi,7.8,19915,0.0550183974108509,
1956,8331,tt13491678,72 Hoorain,2019,"Crime,Drama,Thriller",Sanjay Puran Singh Chauhan,7.0,16417,0.0407028538729187,
1957,7760,tt7167686,Reign of the Supermen,2019,"Action,Adventure,Animation","Jake Castorena,Sam Liu",6.8,19089,0.0459753573172842,
1958,1208,tt1560220,Zombieland: Double Tap,2019,"Action,Comedy,Horror",Ruben Fleischer,6.7,215068,0.5103682178244151,122810399
1959,6491,tt9000224,The Assistant,2019,Drama,Kitty Green,6.3,27722,0.0618583214691203,
1960,1192,tt7798634,Ready or Not,2019,"Action,Comedy,Horror","Matt Bettinelli-Olpin,Tyler Gillett",6.8,213858,0.5150714005531868,57615777
1961,6817,tt8991268,Honeyland,2019,"Documentary,Drama","Tamara Kotevska,Ljubomir Stefanov",8.0,19950,0.0565282980022261,
1962,1165,tt2066051,Rocketman,2019,"Biography,Drama,Music",Dexter Fletcher,7.3,203309,0.52566914593548,195320400
1963,512,tt7653254,Marriage Story,2019,"Drama,Romance",Noah Baumbach,7.9,360074,1.00751582682546,
