,Unnamed: 0,index,tconst,primaryTitle,startYear,genres,directorNames,averageRating,numRatings,weightedRating,releaseDate,poster
1591,2421,2421,tt8633478,Run,2020,"Drama,Horror,Mystery",Aneesh Chaganty,6.7,104960,0.2490758650419895,2020-11-20,/ilHG4EayOVoYeKqslspY3pR4wzC.jpg
1592,7184,7184,tt8143990,Kajillionaire,2020,"Comedy,Crime,Drama",Miranda July,6.4,23024,0.0521907782738147,2020-09-25,/pF8UoDFHictD51kGG4IQKUTOXkv.jpg
1593,7815,7815,tt10199914,The Boys in the Band,2020,Drama,Joe Mantello,6.8,18870,0.0454479015441958,2020-09-30,/2D2gi13hnrXWaspWuWmdbEZ8bef.jpg
1594,9277,9277,tt9058654,Dinner in America,2020,"Comedy,Drama,Music",Adam Rehmeier,7.5,12738,0.0338372866518964,2020-05-27,/kbZSktEZOvn4Rc2l234PHbAVTkQ.jpg
1595,3826,3826,tt6772802,Hillbilly Elegy,2020,"Biography,Drama",,6.7,58310,0.1383728438509757,2020-11-09,/aA0D6DKIfLtXYNy94Qq2IW5NiGR.jpg
1596,7075,7075,tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,2020,"Action,Animation,Fantasy",Haruo Sotozaki,8.7,17324,0.0533826894795609,2021-11-17,/wq1UG5lPCKpOJgmgpKJszKvoMUe.jpg
1597,8612,8612,tt5843876,Chemical Hearts,2020,"Drama,Romance",Richard Tanne,6.3,17240,0.0384689943773044,2020-08-21,/aknnLs5SkaFKZIoFvtBsRhG1FxV.jpg
1598,8919,8919,tt8310474,Bruised,2020,"Drama,Sport",Halle Berry,6.2,16486,0.0362026204847189,2020-09-12,/axibOQF9QnThrr8M37ufAYurP4R.jpg
1599,3079,3079,tt10539608,The Midnight Sky,2020,"Adventure,Drama,Sci-Fi",George Clooney,5.7,91794,0.1853199495291554,2020-12-10,/l8lXesOLXKS0VYjzWNZN6gDxv2F.jpg
1600,3655,3655,tt6673612,Dolittle,2020,"Adventure,Comedy,Family",,5.6,74186,0.1471441514243211,2020-01-02,/uoplwswBDy7gsOyrbGuKyPFoPCs.jpg
1601,13187,13187,tt10023024,Love Aaj Kal,2020,"Drama,Romance",Imtiaz Ali,4.7,10966,0.0182548858690121,2020-02-14,/ntjCPc4ndgjglrjP7kfrWFBsm04.jpg
1602,7613,7613,tt8009744,Worth,2020,"Biography,Drama,History",Sara Colangelo,6.8,19650,0.0473265111469765,2021-07-21,/xMFKTgRRCxfZGmFQVxBsQYAQufo.jpg
1603,12107,12107,tt10303430,Sightless,2020,"Drama,Mystery,Thriller",Cooper Karl,5.5,10827,0.0210913242705862,2020-09-29,/byScu2YTPLsEfDAiXm3pW6w8FBA.jpg
